10604,2.04135689149915e19
6916,2.01148622838872e19
7486,2.03664981473539e19
4460,2.03166757961302e19
14429,2.02482576850870e19
3816,2.01846410804184e19
10715,2.13061888018759e19
1672,2.02461806676549e19
8154,2.03667504327117e19
2692,2.01038044703664e19
13786,2.03833792832583e19
13772,2.03611152211187e19
1812,2.03592554636290e19
833,2.03938435793379e19
12190,2.04383398555416e19
14094,2.02210620389977e19
3337,2.05467657678976e19
12439,2.03862975035192e19
2230,2.04349497734970e19
4659,2.03011381335992e19
12001,2.05655691618496e19
9424,2.01771320845482e19
9086,2.00869195418859e19
3110,2.02642319271580e19
486,2.03177937178400e19
13055,2.02098283660681e19
14839,2.02833965975713e19
11569,2.03342472000953e19
606,2.04189021516512e19
9595,2.01837948314104e19
11281,2.04109998394575e19
939,2.02046872112358e19
141,2.02588086274731e19
12604,2.02470216190771e19
2410,2.02793934002922e19
1618,2.02398536854078e19
11534,2.03522860059869e19
7055,2.01199138420578e19
3969,2.02523339777030e19
13407,2.01896025591052e19
396,2.03319416143357e19
5215,2.06626483075792e19
11993,2.05716638495641e19
14203,2.02171151415971e19
10259,2.02584728888495e19
5386,2.04189054943796e19
151,2.03379853149917e19
5264,2.06627042229184e19
9095,2.00230599265195e19
11416,2.02286065151103e19
4594,2.01599035206172e19
9882,2.01937239314519e19
10319,2.02502212591213e19
7474,2.04731480391184e19
5500,2.02892798442071e19
9273,2.01963130768041e19
6762,2.02912480099957e19
5143,2.04145687136219e19
10087,2.02251489885816e19
13498,2.02260478777510e19
29,2.02408301579353e19
8610,2.02821642482730e19
11660,2.02793080783000e19
10675,2.13753522022776e19
14196,2.02588769427171e19
13067,2.01709912103123e19
10917,2.05260037275741e19
4183,2.01919647221313e19
7488,2.02958225144052e19
3896,2.02420297016060e19
5406,2.04818902647628e19
12478,2.04161023575367e19
4376,2.00213928655180e19
2514,2.01638328434457e19
11698,2.09174998701470e19
7568,2.03661258848719e19
4435,2.02307988063075e19
14370,2.03028989750469e19
14090,2.02732493841453e19
13780,2.03869771122111e19
11129,2.07218406562704e19
1722,2.02871551481021e19
11328,2.03755423108003e19
1698,2.01875591256508e19
6263,2.03385953172002e19
